entity_id,brand_key,brand,product_key,product,variant,gtin,heat_shu,heat_basis,us_availability,evidence_url,price,price_currency,buy_url,in_stock,store_domain,first_observed_at,last_observed_at,names_version,matcher_version,prompt_version,sources,source_count,tiers,hotones_seasons,duplicate_candidate,duplicate_candidate_count,duplicate_of_candidates,corroboration,review_count,review_outlets,review_stance_mix,rules_version
sauce:thai-and-true|sarachee,thai-and-true,Thai And True,sarachee,Sarachee Hot Sauce,,00890741000601,,,retail_listing,http://world-en.openfoodfacts.org/product/0890741000601/sarachee-hot-sauce-thai-and-true,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:thai-authentic|sweet-chili,thai-authentic,Thai Authentic,sweet-chili,Sweet Chili Sauce,,00023907700378,,,retail_listing,http://world-en.openfoodfacts.org/product/0023907700378/sweet-chili-sauce-thai-authentic,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,fdc|off,2,1_population,,True,49,sauce:a-taste-of-thai|sweet-chili|sauce:ai-tropics|sweet-chili|sauce:asian-gourmet|sweet-chili|sauce:bells-flowers|sweet-chili|sauce:best-choice|sweet-chili,multi_source,0,,,v1
sauce:thai-authentic|sweet-chile,thai-authentic,Thai Authentic,sweet-chile,Sweet Chile Sauce,,00023907700385,,,retail_listing,http://world-en.openfoodfacts.org/product/0023907700385/sweet-chile-sauce-thai-authentic,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,1,sauce:thai-authentic|sweet-chili,single_source:off,0,,,v1
sauce:simply-asia|mild-authentic-roasted-red-chili-paste,thai-kitchen,Thai Kitchen,paste-rstd-red-chili,Paste rstd red chili,,00737628006007,,,retail_listing,http://world-en.openfoodfacts.org/product/0737628006007/paste-rstd-red-chili-thai-kitchen,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,fdc|off,2,1_population,,False,0,,multi_source,0,,,v1
sauce:thai-taste|yellow-chili-sauce-with-ginger,thai-taste,Thai Taste,yellow-chili-sauce-with-ginger,Yellow Chili Sauce With Ginger,,00899121001474,,,retail_listing,http://world-en.openfoodfacts.org/product/0899121001474/yellow-chili-sauce-with-ginger-thai-taste,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,fdc|off,2,1_population,,False,0,,multi_source,0,,,v1
sauce:thai-taste|sriracha-hot-chili,thai-taste,Thai Taste,sriracha-hot-chili,Sriracha Hot Chili Sauce,,00899121001337,,,retail_listing,http://world-en.openfoodfacts.org/product/0899121001337/sriracha-hot-chili-sauce-thai-taste,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,19,sauce:3-mien|sriracha-hot-chili|sauce:essential-everyday|sriracha-hot-chili|sauce:flying-goose|sriracha-hot-chili|sauce:giant-eagle|sriracha-hot-chili|sauce:huy-fong|huy-fong-foods-inc-sriracha-hot-chili,single_source:off,0,,,v1
sauce:thai-taste|sweet-chili,thai-taste,Thai Taste,sweet-chili,Sweet Chili Sauce,,00899121001313,,,retail_listing,http://world-en.openfoodfacts.org/product/0899121001313/sweet-chili-sauce-thai-taste,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,True,48,sauce:a-taste-of-thai|sweet-chili|sauce:ai-tropics|sweet-chili|sauce:asian-gourmet|sweet-chili|sauce:bells-flowers|sweet-chili|sauce:best-choice|sweet-chili,single_source:off,0,,,v1
sauce:thai-heritage|sriracha-majo,thai-heritage,Thai heritage,sriracha-majo,SRIRACHA Majo,,08850781704886,,,retail_listing,http://world-en.openfoodfacts.org/product/8850781704886/sriracha-majo-thai-heritage,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
sauce:simply-asia|asian-creations-thai-kitchen-sweet-red-chili-dipping-all-purpose,thai-kitchen,Thai kitchen,sweet-red-chili,Sweet red chili sauce,,00055444528955,,,retail_listing,http://world-en.openfoodfacts.org/product/0055444528955/sweet-red-chili-sauce-thai-kitchen,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,fdc|off,2,1_population,,False,0,,multi_source,0,,,v1
sauce:thai|salsa-picante-agridulce,thai,Thai,salsa-picante-agridulce,Salsa Picante Agridulce,,08850781701069,,,retail_listing,http://world-en.openfoodfacts.org/product/8850781701069/salsa-picante-agridulce-thai,,,,False,,2026-09-19T11:09:45.470554Z,2026-09-19T13:54:01.915222Z,sauce-names-1,sauce-match-1,rule:sauce-structured-1,off,1,1_population,,False,0,,single_source:off,0,,,v1
