term,category
bagel,off_corpus
bags,off_corpus
baguette,off_corpus
baie,off_corpus
baies,off_corpus
bajo,off_corpus
bak,off_corpus
bake,off_corpus
baked,off_corpus
baker's,off_corpus
bakers,off_corpus
bakery,off_corpus
baking,off_corpus
bakkersgist,off_corpus
bakkerszout,off_corpus
bakpulver,off_corpus
bakterii,off_corpus
balance,off_corpus
balanced,off_corpus
ballaststoffe,off_corpus
balls,off_corpus
balm,off_corpus
balsamico,off_corpus
balsamique,off_corpus
bamb,off_corpus
bamboo,off_corpus
bambou,off_corpus
ban,off_corpus
banaan,off_corpus
banan,off_corpus
banana,off_corpus
bananas,off_corpus
banane,off_corpus
bananen,off_corpus
bananenmark,off_corpus
bananenp,off_corpus
bananes,off_corpus
bano,off_corpus
baobab,off_corpus
bar,off_corpus
baratte,off_corpus
barbabietola,off_corpus
barbadensis,off_corpus
barbecue,off_corpus
barbeque,off_corpus
barde,off_corpus
bark,off_corpus
barley,off_corpus
barn,off_corpus
barre,off_corpus
barvivo,off_corpus
barwnik,off_corpus
barwniki,off_corpus
bas,off_corpus
base,off_corpus
based,off_corpus
basilic,off_corpus
basilico,off_corpus
basilicum,off_corpus
basilika,off_corpus
basilikum,off_corpus
basis,off_corpus
basmati,off_corpus
batata,off_corpus
batavia,off_corpus
batch,off_corpus
batter,off_corpus
battered,off_corpus
baunilha,off_corpus
bb-,off_corpus
bbq,off_corpus
bcaa,off_corpus
bean,off_corpus
beans,off_corpus
beaucoup,off_corpus
bebida,off_corpus
because,off_corpus
bedst,off_corpus
bee,off_corpus
beef,off_corpus
been,off_corpus
beer,off_corpus
beeren,off_corpus
bees,off_corpus
beeswax,off_corpus
beete,off_corpus
beetroot,off_corpus
beets,off_corpus
before,off_corpus
bei,off_corpus
bel,off_corpus
belgian,off_corpus
belgique,off_corpus
belgium,off_corpus
beljakovine,off_corpus
belly,off_corpus
below,off_corpus
ben,off_corpus
bengal,off_corpus
bensirup,off_corpus
benzoat,off_corpus
benzoato,off_corpus
benzoic,off_corpus
benzucker,off_corpus
benzyl,off_corpus
ber,off_corpus
bereid,off_corpus
bereiding,off_corpus
bergamot,off_corpus
bergamote,off_corpus
berm,off_corpus
berries,off_corpus
berry,off_corpus
berzug,off_corpus
berzugsmittel,off_corpus
bes,off_corpus
beschermen,off_corpus
beschermende,off_corpus
besin,off_corpus
beskyttende,off_corpus
best,off_corpus
bestr,off_corpus
beta,off_corpus
beta-apo-,off_corpus
beta-carotene,off_corpus
beta-caroteno,off_corpus
beta-carotin,off_corpus
betacaroteno,off_corpus
betaine,off_corpus
betakaroten,off_corpus
bete,off_corpus
betenrot,off_corpus
beter,off_corpus
better,off_corpus
betterave,off_corpus
betteraves,off_corpus
between,off_corpus
beure,off_corpus
beurre,off_corpus
beutel,off_corpus
bevanda,off_corpus
bevat,off_corpus
bevatten,off_corpus
beverage,off_corpus
beverages,off_corpus
bevochtigingsmiddel,off_corpus
bewaaradvies,off_corpus
bewaren,off_corpus
bez,off_corpus
bezogen,off_corpus
bha,off_corpus
bht,off_corpus
bia,off_corpus
bianco,off_corpus
bica,off_corpus
bicarbonat,off_corpus
bicarbonate,off_corpus
bicarbonates,off_corpus
bicarbonato,off_corpus
bielkoviny,off_corpus
bien,off_corpus
bienenwachs,off_corpus
bier,off_corpus
bieslook,off_corpus
biet,off_corpus
bietenrood,off_corpus
bifidobacterium,off_corpus
bifidum,off_corpus
bifidus,off_corpus
biga,off_corpus
bigarreaux,off_corpus
bih,off_corpus
bij,off_corpus
bijenwas,off_corpus
bilan,off_corpus
bilberry,off_corpus
biljna,off_corpus
bilkoviny,off_corpus
billes,off_corpus
billettes,off_corpus
billion,off_corpus
bimbo,off_corpus
binnen,off_corpus
bio,off_corpus
bioengineered,off_corpus
biol,off_corpus
biologica,off_corpus
biologico,off_corpus
biologique,off_corpus
biologiques,off_corpus
biologisch,off_corpus
biologische,off_corpus
biologischem,off_corpus
biologischer,off_corpus
biotin,off_corpus
biotina,off_corpus
biotine,off_corpus
bir,off_corpus
birnen,off_corpus
birra,off_corpus
bis,off_corpus
biscotti,off_corpus
biscuit,off_corpus
biscuits,off_corpus
bisglycinate,off_corpus
bisporus,off_corpus
bitartrate,off_corpus
bites,off_corpus
bitkisel,off_corpus
bits,off_corpus
bitte,off_corpus
bitter,off_corpus
bittersweet,off_corpus
bixin,off_corpus
bjelan,off_corpus
black,off_corpus
blackberries,off_corpus
blackberry,off_corpus
blackcurrant,off_corpus
blackcurrants,off_corpus
blackstrap,off_corpus
blanc,off_corpus
blanca,off_corpus
blanche,off_corpus
blanched,off_corpus
blanches,off_corpus
blanchiert,off_corpus
blanchies,off_corpus
blanco,off_corpus
blancs,off_corpus
blat,off_corpus
ble,off_corpus
bleached,off_corpus
blend,off_corpus
blended,off_corpus
blette,off_corpus
bleu,off_corpus
bleuet,off_corpus
bloc,off_corpus
bloem,off_corpus
blond,off_corpus
blood,off_corpus
blossom,off_corpus
blue,off_corpus
blueberries,off_corpus
blueberry,off_corpus
blumenkohl,off_corpus
boby,off_corpus
bockshornklee,off_corpus
boden,off_corpus
bodenhaltung,off_corpus
body,off_corpus
